date,headline,country,risk_category,severity,affected_supplier,status
2026-01-01,Geopolitical event impacts Glass supply in Germany,Germany,Geopolitical,10,S008,Open
2026-01-02,Financial event impacts SoC supply in Taiwan,Taiwan,Financial,9,S011,Open
2026-01-03,Labor Strike event impacts PCB supply in Malaysia,Malaysia,Labor Strike,2,S036,Open
2026-01-04,Pandemic event impacts Glass supply in Germany,Germany,Pandemic,2,S008,Resolved
2026-01-05,Pandemic event impacts Packaging supply in Australia,Australia,Pandemic,5,S010,Resolved
2026-01-06,Labor Strike event impacts Glass supply in Germany,Germany,Labor Strike,8,S018,Monitoring
2026-01-07,Pandemic event impacts PCB supply in Malaysia,Malaysia,Pandemic,9,S016,Open
2026-01-08,Regulatory event impacts Memory supply in Japan,Japan,Regulatory,10,S025,Resolved
2026-01-09,Climate event impacts Connector supply in USA,USA,Climate,5,S009,Monitoring
2026-01-10,Operational event impacts Display supply in China,China,Operational,5,S022,Open
2026-01-11,Financial event impacts Connector supply in USA,USA,Financial,10,S019,Resolved
2026-01-12,Logistics event impacts Display supply in China,China,Logistics,8,S032,Resolved
2026-01-13,Cybersecurity event impacts SoC supply in Taiwan,Taiwan,Cybersecurity,6,S031,Resolved
2026-01-14,Labor Strike event impacts Memory supply in Japan,Japan,Labor Strike,8,S035,Monitoring
2026-01-15,Regulatory event impacts Battery supply in South Korea,South Korea,Regulatory,10,S013,Monitoring
2026-01-16,Labor Strike event impacts Memory supply in Japan,Japan,Labor Strike,1,S015,Monitoring
2026-01-17,Labor Strike event impacts SoC supply in Taiwan,Taiwan,Labor Strike,7,S031,Resolved
2026-01-18,Pandemic event impacts Packaging supply in Australia,Australia,Pandemic,1,S010,Open
2026-01-19,Raw Material Shortage event impacts Battery supply in South Korea,South Korea,Raw Material Shortage,6,S033,Open
2026-01-20,Climate event impacts Connector supply in USA,USA,Climate,9,S029,Monitoring
2026-01-21,Logistics event impacts SoC supply in Taiwan,Taiwan,Logistics,7,S001,Resolved
2026-01-22,Climate event impacts Packaging supply in Australia,Australia,Climate,8,S010,Monitoring
2026-01-23,Raw Material Shortage event impacts Display supply in China,China,Raw Material Shortage,7,S022,Resolved
2026-01-24,Cybersecurity event impacts PCB supply in Malaysia,Malaysia,Cybersecurity,9,S006,Monitoring
2026-01-25,Pandemic event impacts SoC supply in Taiwan,Taiwan,Pandemic,9,S021,Open
2026-01-26,Climate event impacts Packaging supply in Australia,Australia,Climate,4,S040,Resolved
2026-01-27,Regulatory event impacts Connector supply in USA,USA,Regulatory,2,S019,Monitoring
